Filename,Turns,stop_y,Stop_z,Wpeak,Wtrail,Wrange_val,Wduration,Wstandard deviation,Wmean,Speak,Sstd,Saccely_mean,Sidepeak_x,Sidestd_x,Sideaccely_x,Sidepeak_y,Sidestd_y,Sideaccely_y,Rating
1,1.552805407,0.030725,4.85,0.017,-0.0336,0.0506,18,0.013050143,0.004226316,0.008,0,0.006307778,0.008,0,0.006307778,0.106444444,0.050124268,0.000735556,3
2,2.0424616,0.0349,7.825,0.03,-0.031,0.061,15,0.014955965,0.00406875,0.03,0.01359608,0.008136111,0.03,0.01359608,0.008136111,0.0615,0.019697768,0.005465278,3
3,1.76437678,0.03215,7.45,0.0187,-0.0349,0.0536,7,0.01645055,0.013702778,0.0187,0.013359975,0.014442551,0.0187,0.013359975,0.014442551,0.0342,0.012190267,0.003949192,3
4,1.203749261,0.040175,6.025,0.003,-0.0259,0.0289,20,0.007713162,0.008424868,0.001333333,0.00789612,0.010480556,0.001333333,0.00789612,0.010480556,0.0378,0.018620929,0.002628889,3
5,0.281707584,0.0342,7.525,0.0061,-0.0356,0.0417,35,0.008474754,0.008340572,0.003272727,0.006413753,0.007484015,0.003272727,0.006413753,0.007484015,0.0406,0.021026205,0.001202348,5
6,0.517715682,0.04415,7.025,0.0029,-0.0296,0.0325,19,0.00869079,0.014606111,0.0029,0.006871704,0.011705139,0.0029,0.006871704,0.011705139,0.049222222,0.018307055,0.000609097,4
7,2.334374194,0.032175,8.1,0.0119,-0.0404,0.0523,16,0.011650134,0.013535131,0.0011,0.007262333,0.016054653,0.0011,0.007262333,0.016054653,0.0505,0.040814075,0.003323819,4
8,1.388831064,0.029675,6.15,0.0012,-0.0226,0.0238,4,0.008691283,0.00944,0.0012,0.006623342,0.010631111,0.0012,0.006623342,0.010631111,0.0196,0.007881448,9.75E-05,4
9,1.759046652,0.03175,7.575,0.0072,-0.0241,0.0313,31,0.00680432,0.009156597,0.0072,0.008146606,0.009812778,0.0072,0.008146606,0.009812778,0.0232,0.009545744,0.001025833,5
10,1.123477946,0.037575,7.2,0.0104,-0.041888889,0.052288889,21,0.011019017,0.013729293,0.0104,0.012732222,0.013425278,0.0104,0.012732222,0.013425278,0.0567,0.022560695,0.005465278,3
11,1.965544663,0.021075,7.3,0.050555556,-0.0329,0.083455556,3,0.031445014,0.005213889,0.050555556,0.022810197,0.012165606,0.050555556,0.022810197,0.012165606,0.112222222,0.081751425,0.019713737,4
12,2.355867562,0.04805,8,0.0022,-0.0334,0.0356,1,0.0178,0.0156,0.0022,0.008742933,0.017723889,0.0022,0.008742933,0.017723889,0.0323,0,0.003428889,4
13,1.588850714,0.0307,7.175,0.0125,-0.0405,0.053,7,0.015082725,0.0087125,0.0041,0.009712124,0.014015556,0.0041,0.009712124,0.014015556,0.0157,0.011267495,0.001948611,4
