Filename,Turns,Stop_y,Stop_z,Wpeak,Wtrail,Wrange_val,Wduration,Wstandard deviation,Wmean,Speak,Sstd,Saccely_mean,Sidepeak_x,Sidestd_x,Sideaccely_x,Sidepeak_y,Sidestd_y,Sideaccely_y,Rating
1,4.17788023,0.028225,4.2,0.0219,-0.0333,0.0552,7,0.015593907,0.015944444,0.0219,0.013265379,0.006057778,0.0219,0.013265379,0.006057778,0.0351,0.024041324,0.005414167,4
2,1.761004798,0.035925,6.225,0.0096,-0.0289,0.0385,2,0.01613657,0.007066667,0.0096,0.010155168,0.008296389,0.0096,0.010155168,0.008296389,0.0762,0.029226642,0.002935,4
3,0.689371051,0.02415,5.825,0.016222222,-0.0354,0.051622222,8,0.013956191,0.009830864,0.002777778,0.008994594,0.010712222,0.002777778,0.008994594,0.010712222,0.0165,0.00914915,0.001004722,4
4,1.094404704,0.024925,6.725,0.0093,-0.0322,0.0415,1,0.02075,0.01145,0.0093,0.01231334,0.008163333,0.0093,0.01231334,0.008163333,0.017,0.010264276,0.003228889,4
5,0.948013169,0.03245,5.95,0.0205,-0.024,0.0445,33,0.009922411,0.007417974,0.0205,0.011678815,0.006042778,0.0205,0.011678815,0.006042778,0.0459,0.021910969,0.007475833,4
6,1.379473724,0.034825,7.775,0.0176,-0.0534,0.071,10,0.017826653,0.014943159,0.0176,0.012710752,0.011361869,0.0176,0.012710752,0.011361869,0.028,0.01739981,0.001697576,4
7,1.03111533,0.052375,6.925,0.0098,-0.0428,0.0526,6,0.015140755,0.014357143,0.0098,0.008231897,0.011865556,0.0098,0.008231897,0.011865556,0.0561,0.022246904,0.005826944,4
8,1.211494219,0.021875,5.55,0.0138,-0.036,0.0498,21,0.013351434,0.01149899,0.0138,0.011007772,0.009770556,0.0138,0.011007772,0.009770556,0.0253,0.011886995,0.007019167,5
9,0.829667164,0.028875,6.275,0.0041,-0.034444444,0.038544444,4,0.014258466,0.023377778,0.0041,0.011344817,0.016048889,0.0041,0.011344817,0.016048889,0.0223,0.008998127,0.000285556,4
10,0.850870438,0.03605,5.5,0.0054,-0.0217,0.0271,10,0.007577762,0.009245455,0.0054,0.006916396,0.008712778,0.0054,0.006916396,0.008712778,0.0225,0.009153493,0.001003056,4
11,1.386129193,0.029575,7.15,0.0079,-0.033111111,0.041011111,19,0.008740305,0.014394444,0.0079,0.008914525,0.013241389,0.0079,0.008914525,0.013241389,0.0492,0.018574056,0.004390278,5
12,5.118218178,-0.03655,6.45,0.0355,-0.072,0.1075,5,0.034480536,0.02212037,0.0355,0.02860223,0.018840556,0.0355,0.02860223,0.018840556,0.104,0.098315705,0.133746944,4
13,2.060568509,0.0213,8.45,0.0239,-0.0597,0.0836,5,0.026972934,0.02735,0.0239,0.026002031,0.019179848,0.0239,0.026002031,0.019179848,0.2283,0.102217108,0.013924823,4
14,1.264868514,0.03865,5.625,0.005888889,-0.0302,0.036088889,7,0.011896697,0.008001389,0.005888889,0.008876268,0.009761111,0.005888889,0.008876268,0.009761111,0.05,0.02424763,0.000846111,4
15,0.666424962,0.030925,6.7,0.004222222,-0.029444444,0.033666667,31,0.007953386,0.009535069,0.004222222,0.008244555,0.010626742,0.004222222,0.008244555,0.010626742,0.0274,0.023703,0.000339419,4
16,1.019564291,0.05045,7.35,0.021666667,-0.0451,0.066766667,1,0.033383333,0.011716667,0.021666667,0.017429993,0.008908611,0.021666667,0.017429993,0.008908611,0.0473,0.017814372,0.004773333,5
17,1.17977089,0.034525,6.25,0.0054,-0.0364,0.0418,27,0.008954421,0.012424107,0.003625,0.007479418,0.012359375,0.003625,0.007479418,0.012359375,0.0284,0.020229094,0.000861458,4
18,0.775894351,0.0303,5.7,0.0309,-0.0287,0.0596,3,0.023644838,0.009330556,0.011363636,0,0.006806742,0.011363636,0,0.006806742,0.0085,0.013520164,0.005520833,5
19,1.552485757,0.0421,6.775,0.0114,-0.034,0.0454,24,0.011224509,0.012159619,0.002555556,0.009600913,0.011536795,0.002555556,0.009600913,0.011536795,0.0515,0.022321879,0.005948927,5
20,1.605895869,0.026925,5.6,0.0033,-0.0338,0.0371,19,0.008013419,0.010718889,0.0033,0.005813393,0.011111944,0.0033,0.005813393,0.011111944,0.0406,0.018663058,0.006103611,5
21,1.061207522,0.030225,6.65,0.0102,-0.0281,0.0383,7,0.01211161,0.0100125,0.0102,0.009485958,0.008926944,0.0102,0.009485958,0.008926944,0.0332,0.015832327,0.000954722,5
22,0.552512755,0.034475,6.925,0.0018,-0.023,0.0248,18,0.006258407,0.011216374,0.0018,0.007086864,0.009692778,0.0018,0.007086864,0.009692778,0.021,0.008681994,0.0019075,4
23,1.507135769,0.03285,6.5,0.0071,-0.029555556,0.036655556,9,0.010426901,0.013135556,0.0071,0.009711331,0.011378384,0.0071,0.009711331,0.011378384,0.038,0.024387029,0.003976944,4
24,4.801070973,0.044375,5.2,0.0284,-0.0349,0.0633,22,0.012495643,0.009242995,0.0284,0.014357012,0.010304444,0.0284,0.014357012,0.010304444,0.0919,0.046993824,0.013033056,5
25,0.860950087,0.048825,6.625,0.014,-0.0383,0.0523,24,0.01168983,0.010232889,0.004111111,0.007872619,0.009508056,0.004111111,0.007872619,0.009508056,0.0789,0.046996671,0.000987778,4
26,0.842140033,0.038375,6.275,0.0077,-0.036777778,0.044477778,13,0.012686252,0.012437302,0.0077,0.010869868,0.0111225,0.0077,0.010869868,0.0111225,0.0546,0.018156496,0.001443056,4
27,0.778478644,0.039,6.6,0.0079,-0.040454545,0.048354545,6,0.016226011,0.012471284,0.0079,0.011443969,0.010194697,0.0079,0.011443969,0.010194697,0.036666667,0.013499513,0.003724015,4
28,1.275127397,0.0387,5.825,0.015,-0.052,0.067,5,0.021161975,0.01865,0.0023,0,0.014446389,0.0023,0,0.014446389,0.0388,0.014695966,0.003848333,4
29,0.943408704,0.036675,6.15,0.0087,-0.0484,0.0571,10,0.015145228,0.015755556,0.0087,0.011952634,0.011141389,0.0087,0.011952634,0.011141389,0.0417,0.023009402,0.004148611,4
30,1.097790629,0.039875,6,0.0313,-0.0552,0.0865,12,0.022744857,0.009894872,0.0313,0.016906374,0.010244861,0.0313,0.016906374,0.010244861,0.0633,0.024192591,0.002149514,4
31,0.955196663,0.049625,6.35,0.0201,-0.0373,0.0574,26,0.012701282,0.009144155,0.0201,0.012146924,0.010667304,0.0201,0.012146924,0.010667304,0.059111111,0.024950554,0.000222481,5
32,0.741654957,0.038775,6.3,0.0179,-0.0315,0.0494,2,0.020406045,0.009,0.011,0,0.011943889,0.011,0,0.011943889,0.086111111,0.041342936,0.000857222,4
33,5.192978937,0.082525,8.1,0.0146,-0.1238,0.1384,15,0.032729629,0.048149747,0.0146,0.02595448,0.035816843,0.0146,0.02595448,0.035816843,0.3122,0.10351077,0.030341995,5
34,3.142220008,0.065675,7.7,0.0312,-0.064111111,0.095311111,5,0.035383274,0.013024074,0.0312,0.032561475,0.021260833,0.0312,0.032561475,0.021260833,0.2654,0.094668144,0.003103611,4
35,0.53092724,0.051025,6.475,0.002,-0.0307,0.0327,7,0.010535509,0.015416667,0.002,0.008196649,0.013309167,0.002,0.008196649,0.013309167,0.0271,0,0.00642,5
36,0.681524877,0.043075,6.8,0.0167,-0.0318,0.0485,36,0.011765478,0.009797215,0.0113,0.012781818,0.009427146,0.0113,0.012781818,0.009427146,0.0306,0.013510142,5.05E-08,4
37,0.893798254,0.05125,5.775,0.0453,-0.045222222,0.090522222,11,0.02151035,0.006120412,0.0453,0.014694118,0.008342235,0.0453,0.014694118,0.008342235,0.053777778,0.037619428,0.000866383,5
38,1.056237491,0.044325,6.05,0.0156,-0.0434,0.059,7,0.019567767,0.0169,0.0088,0.016835445,0.012190556,0.0088,0.016835445,0.012190556,0.0393,0.020401029,0.005287778,5
39,1.233684185,0.04905,6.325,0.0167,-0.040444444,0.057144444,7,0.018821933,0.007730556,0.0048,0,0.0120475,0.0048,0,0.0120475,0.0871,0.065359434,0.002719722,4
40,1.141035548,0.04735,5.9,0.0108,-0.0339,0.0447,13,0.011461015,0.013189683,0.0108,0.010174204,0.011092708,0.0108,0.010174204,0.011092708,0.1152,0.054972818,0.002736458,4
41,1.314518944,0.03265,6.7,0.0067,-0.0407,0.0474,1,0.0237,0.017,0.0035,0.006940376,0.011263472,0.0035,0.006940376,0.011263472,0.0099,0.007653941,0.004600486,4
42,0.756627824,0.0307,7.075,0.005444444,-0.0244,0.029844444,2,0.012702724,0.012018519,0.005444444,0.010351873,0.010116736,0.005444444,0.010351873,0.010116736,0.029,0.028933166,0.003211181,4
43,1.083608478,0.03955,6.425,0.0103,-0.034,0.0443,12,0.011575321,0.011391453,0.0103,0.010636108,0.01066024,0.0103,0.010636108,0.01066024,0.05,0.040976517,0.000758788,5
44,4.59798712,-0.30635,3.75,-0.0597,-0.1204,0.0607,28,0.014984498,0.082944828,-0.0597,0.011846888,0.084106071,-0.0597,0.011846888,0.084106071,-0.3354,0.013905401,0.389656111,5
45,1.098406591,-0.400975,9,-0.077444444,-0.1114,0.033955556,36,0.007768106,0.095888589,-0.0868,0,0.096346944,-0.0868,0,0.096346944,-0.3858,0.043000446,0.438819293,4
46,1.137993016,-0.423525,8.475,-0.0842,-0.1203,0.0361,21,0.008939235,0.102004546,-0.0842,0.006246862,0.100826389,-0.0842,0.006246862,0.100826389,-0.4161,0.021482067,0.452420278,5
47,1.867237853,-0.4324,9.675,-0.0939,-0.119777778,0.025877778,3,0.009991084,0.105994444,-0.0955,0.004157021,0.1063125,-0.0955,0.004157021,0.1063125,-0.3999,0.017601263,0.4561625,4
48,1.625851401,-0.436675,8.9,-0.0922,-0.1199,0.0277,3,0.010102722,0.1036,-0.0922,0.007790599,0.103450278,-0.0922,0.007790599,0.103450278,-0.420444444,0.012824329,0.448686616,4
49,1.676934984,-0.3838,9.925,-0.0877,-0.1286,0.0409,33,0.007808962,0.112454575,-0.0954,0,0.111344444,-0.0954,0,0.111344444,-0.2887,0.046101457,0.411072222,4
50,1.616287798,-0.403725,9.975,-0.0764,-0.1154,0.039,29,0.007736243,0.100197407,-0.0764,0.00770139,0.099689318,-0.0764,0.00770139,0.099689318,-0.3866,0.040377866,0.435880202,5
51,1.960253699,-0.38455,9.8,-0.078888889,-0.1313,0.052411111,7,0.014231719,0.096648611,-0.0819,0.012052748,0.097705556,-0.0819,0.012052748,0.097705556,-0.3556,0.031113413,0.410971389,5
52,1.06689913,-0.36545,4.575,-0.0625,-0.1236,0.0611,9,0.016187478,0.086688889,-0.0625,0.010948414,0.0887125,-0.0625,0.010948414,0.0887125,-0.355444444,0.009486757,0.391850833,4
53,0.895655417,-0.3668,2.125,-0.0759,-0.0997,0.0238,14,0.006040537,0.089086667,-0.0759,0.006963132,0.088535833,-0.0759,0.006963132,0.088535833,-0.3259,0.031783813,0.393168611,4
