Filename,Mean,HM,Median,Median_Group,Median_High,Median_Low,Mode,Std.Pop,Std,Variance_P,Variance,Min,Max,Range,Q1,Q2,Q3,IQR,85thPercentile,Skewness,Kurtosis, Jerk_Min, Jerk_Max, Jerk_Mean, Snap_Min, Snap_Max, Snap_Mean,Rating
1,76.3325,0,87.55,87.1,87.6,87.5,0,24.13271,24.44015,582.3877,597.3207,0,101.8,101.8,58,87.55,96.05,38.05,99.05,-1.07052,0.717374,0,10000,25,-100000000,100000000,4.43E-09,4
2,108.555,108.0305,110.2,110.2,110.2,110.2,117,7.32673,7.420068,53.68098,55.05741,92.2,117.4,25.2,105.95,110.2,115,9.05,116.6,-0.80582,-0.23944,0,0,0,0,0,0,4
3,106.8925,106.8625,107.15,106.7,107.2,107.1,105,1.790026,1.81283,3.204194,3.286353,103.8,110.3,6.5,105.25,107.15,108.2,2.95,108.5,-0.11751,-0.93008,0,0,0,0,0,0,4
4,105.7625,105.6692,106.3,105.9,106.4,106.2,106.9,3.133025,3.172937,9.815844,10.06753,99.6,111.2,11.6,103.6,106.3,107.8,4.2,109.3,-0.15416,-0.81155,0,0,0,0,0,0,4
5,111.7475,111.3572,114.7,114.5333,114.7,114.7,114.7,6.339242,6.42,40.18599,41.2164,96.7,117.9,21.2,109.7,114.7,115.95,6.25,116.3,-1.40691,0.600585,0,0,0,0,0,0,4
6,117.4225,117.4063,117.35,116.9,117.4,117.3,118.5,1.380125,1.397706,1.904744,1.953583,114.2,120.9,6.7,116.45,117.35,118.5,2.05,118.7,0.203326,0.156185,0,0,0,0,0,0,4
7,106.245,105.8056,107.85,107.4,107.9,107.8,112.4,6.579588,6.663408,43.29098,44.401,91.3,114.4,23.1,105.1,107.85,111.45,6.35,112.2,-1.16198,0.296879,0,0,0,0,0,0,4
8,100.1525,99.95483,100.95,100.7,101.2,100.7,97.4,4.378127,4.433901,19.16799,19.65948,90.3,106.2,15.9,97.6,100.95,103.4,5.8,104.95,-0.70408,-0.3269,0,0,0,0,0,0,5
9,99.0425,98.93336,98.7,98.53333,98.7,98.7,98.7,3.312091,3.354284,10.96994,11.25122,93.8,106.5,12.7,96.7,98.7,100.6,3.9,103.05,0.513509,-0.15933,0,0,0,0,0,0,4
10,94.2,94.14878,94.3,93.9,94.4,94.2,91.6,2.205108,2.233199,4.8625,4.987179,90.6,99.4,8.8,92.2,94.3,95.5,3.3,96,0.383521,-0.27514,0,0,0,0,0,0,4
