Filename,Turns,Stops_Y,Stops_Z,Wpeak,Wtrail,Wrange_val,Wduration,Wstandard deviation,Wmean,Speak,Sstd,Saccely_mean,Sidepeak_x,Sidestd_x,Sideaccely_x,Sidepeak_y,Sidestd_y,Sideaccely_y,Rating
0000f77c-62c2a288.mov,3.125708688,0.1268,27.25,1.0375,0.97354,0.06396,21,0.012517902,1.002654842,1.008344921,0.002570068,1.002239382,1.008344921,0.002570068,1.002239382,0.120941474,0.029609574,0.039058976,4
0000f77c-cb820c98.mov,3.867355401,0.105825,31.55,1.022673469,0.98144,0.041233469,24,0.009896453,1.00300498,1.007746408,0,1.004631626,1.007746408,0,1.004631626,0.057297046,0.001773626,0.029649944,4
0001542f-5ce3cf52.mov,1.075864095,0.085525,43.775,-0.9681,-1.00338,0.03528,1,0.01764,0.98574,-0.981565049,0,0.985065169,-0.981565049,0,0.985065169,-0.005199168,0.001731826,0.012542238,5
0001542f-7c670be8.mov,5.237597785,0.127425,15.775,-0.97,-1.00548,0.03548,9,0.013112663,0.982913922,-0.980467327,0.001431023,0.983743322,-0.980467327,0.001431023,0.983743322,0.03291016,0.017662988,0.025692352,4
0001542f-ec815219.mov,2.201734012,0.07015,29.375,-0.97476,-0.997078431,0.022318431,2,0.009416225,0.987599477,-0.98351425,0.000568713,0.985435552,-0.98351425,0.000568713,0.985435552,-0.000864942,0,0.010478187,5
0004974f-05e1c285.mov,0.505991709,0.268075,28.15,1.24542,0.8226,0.42282,23,0.088656856,1.0050325,1.041815701,0.013690923,0.997259935,1.041815701,0.013690923,0.997259935,0.228594012,0.035595552,0.104343083,5
00067cfb-5adfaaa7.mov,5.689817752,0.082025,17.2,1.004625,0.9756,0.029025,41,0.004823164,0.993589614,0.995431856,0,0.993212965,0.995431856,0,0.993212965,0.017401142,0.004575334,0.001967814,4
00067cfb-caba8a02.mov,9.403013848,0.138475,31.95,1.02158,0.97338,0.0482,16,0.010589787,0.993481225,0.999988267,0,0.996063832,0.999988267,0,0.996063832,0.086793752,0.010478254,0.051639491,4
00067cfb-e535423e.mov,1.960239694,0.0607,34.7,1.0047,0.980807692,0.023892308,7,0.007957819,0.994285247,0.997578308,0.003703849,0.995181744,0.997578308,0.003703849,0.995181744,0.078385709,0.015350508,0.013000388,4
00091078-59817bb0.mov,1.25E-05,-0.0075,43.925,-0.98908,-0.9935,0.00442,4,0.001712617,0.990472,-0.990383983,0.000194867,0.99095893,-0.990383983,0.000194867,0.99095893,-0.017500232,0.000454616,0.017993113,4
00091078-7cff8ea6.mov,0.00010666,0.027175,2.575,-0.98924,-0.99282,0.00358,21,0.000734905,0.990665972,-0.990299426,0,0.990755586,-0.990299426,9.64E-05,0.990755586,0.019273716,0,0.018621333,4
00091078-84635cf2.mov,1.36E-05,-0.0414,41.45,-0.98854,-0.99168,0.00314,1,0.00157,0.99011,-0.989698015,0.000158149,0.989912589,-0.989698015,0.000158149,0.989912589,-0.046501513,0.000406228,0.048552864,4
00091078-875c1f73.mov,0.001039825,0.0315,18.125,-0.977,-0.998,0.021,2,0.008575956,0.987346667,-0.989578878,0.000151544,0.989683372,-0.989578878,0.000151544,0.989683372,0.001901916,0.000872676,0.001270581,4
00091078-c1d32eea.mov,0.01093092,0.031075,32.3,-0.974568628,-0.99508,0.020511373,9,0.007466673,0.986208863,-0.982728153,0.001310709,0.98762786,-0.982728153,0.001310709,0.98762786,-0.031528316,0.010181128,0.051301097,4
00091078-cedbfea7.mov,0.004792843,0.076325,19.725,-0.97578,-0.99768,0.0219,3,0.007967396,0.98686,-0.989326073,0,0.989782953,-0.989326073,2.54E-05,0.989782953,0.046809453,0.006063674,0.038152506,4
00091078-f32de4d2.mov,8.099986895,0.036725,35.1,-0.9691,-1.00164,0.03254,6,0.010008494,0.98706,-0.984605838,0.001265367,0.988481568,-0.984605838,0.001265367,0.988481568,0.042319499,0.037599498,0.039831996,4
