Filename,Turns,Stops_Y,Stops_Z,Wpeak,Wtrail,Wrange_val,Wduration,Wstandard deviation,Wmean,Speak,Sstd,Saccely,Sidepeak_x,Sidestd_x,Sideaccely_x,SIdepeak_y,Sidestd_y,Sideaccely_y,Rating
00225f53-4200bde2.mov,0.000210521,0.021375,42.05,-0.97956,-0.9944,0.01484,7,0.004020982,0.9862075,-0.986170683,0.000565784,0.988289543,-0.986170683,0.000565784,0.988289543,0.007619468,0.003801877,0.003420656,4
00225f53-67614580.mov,0.002452306,0.09275,39.3,-0.96402,-1.00892,0.0449,21,0.008449389,0.983629768,-0.982150833,0.000213631,0.983363934,-0.982150833,0.000213631,0.983363934,0.058775277,0.004743633,0.03908243,3
00268999-9f6d5823.mov,7.361964575,0.0667,46.275,-0.93494,-1.02142,0.08648,12,0.025846832,0.971329231,-0.955733144,0.006648823,0.983816017,-0.955733144,0.006648823,0.983816017,0.032113003,0.006967228,0.029176005,4
00268999-a4b8e39d.mov,7.757772826,0.0346,46.7,-0.9194,-1.053921569,0.134521569,16,0.025504681,0.984550681,-0.966724998,0.004525405,0.984075565,-0.966724998,0.004525405,0.984075565,0.046784431,0.017007441,0.016630706,3
00268999-cb063914.mov,0.540633435,0.002875,49.925,-0.9112,-0.99412,0.08292,11,0.022779434,0.963391667,-0.949766812,0.006767304,0.969782943,-0.949766812,0.006767304,0.969782943,-0.068957312,0.002102932,0.074561421,3
002ab96a-a96704f9.mov,0.013079863,0.4038,26.7,1.01258,0.91252,0.10006,19,0.02062741,0.985455137,0.992746799,0.002660463,0.986097971,0.992746799,0.002660463,0.986097971,0.07603041,0.004686307,0.059664728,4
002ab96a-ea678692.mov,7.399197605,0.2036,24.625,1.050642857,0.961921569,0.088721289,34,0.017847473,0.99210872,0.995515034,0.001587651,0.992167676,0.995515034,0.001587651,0.992167676,0.094424988,0.029169829,0.067235204,4
00488b40-0a8cf1a0.mov,13.82708193,0.202825,45.325,-0.93558,-1.02622,0.09064,4,0.032353697,0.981692,-0.967947976,0.005763306,0.987915297,0,0,0,0,0,0,3
0065fe83-c80cf6c3.mov,4.490753075,0.127725,39.225,-0.95858,-1.00664,0.04806,4,0.019180429,0.983936,-0.981260902,0.002484329,0.991086176,-0.981260902,0.002484329,0.991086176,0.012677467,0.00811425,0.032518039,3
006d6f8e-4759e8c1.mov,3.045614795,-0.012525,45.125,-0.95116,-1.02344,0.07228,1,0.03614,0.9873,-0.986926468,0.001305152,0.99264194,-0.986926468,0.001305152,0.99264194,-0.125224848,0.000375495,0.131849937,4
00721168-56efa5c2.mov,2.52746821,0.058275,26.55,-0.99074,-1.0069,0.01616,11,0.004806003,0.995764286,-0.995169331,0.000823753,0.998364898,-0.995169331,0.000823753,0.998364898,0.010574483,0.008721653,0.011543775,4
00a820ef-2b98dcf5.mov,3.333218784,0.043775,33.45,-0.9773,-0.99426,0.01696,5,0.005654176,0.983082745,-0.983494872,0.000883779,0.986382365,-0.983494872,0.000883779,0.986382365,0.031705658,0.005636883,0.007504434,4
00a820ef-98a12e22.mov,1.039970206,0.018225,35.25,-0.96582,-1.00566,0.03984,2,0.017062648,0.982093333,-0.97984903,0.000793799,0.983157004,-0.97984903,0.000793799,0.983157004,-0.055932755,0,0.060857446,4
00a820ef-d655700e.mov,2.319287501,0.082975,26.425,-0.9683,-0.9955,0.0272,29,0.006864009,0.985710876,-0.980660093,0,0.984652087,-0.980660093,0,0.984652087,0.009443108,0.013754976,0.014394871,4
00d77344-9fe25620.mov,0.029933616,0.01785,37.85,-0.97956,-1.00232,0.02276,2,0.009621772,0.992706667,-0.993860609,0.000561198,0.995363987,-0.993860609,0.000561198,0.995363987,-0.022390798,0.000127938,0.023706498,3
00d9e313-038310a2.mov,8.72881847,0.1213,22.275,-0.96918,-1.0198,0.05062,1,0.02531,0.99449,-0.991460933,0.001333215,0.997663648,-0.991460933,0.001333215,0.997663648,0.107907589,0.018065611,0.030722956,4
00d9e313-926b6698.mov,4.634422651,0.130375,28.325,-0.9606,-1.01502,0.05442,13,0.012306358,0.994557143,-0.989896833,0.002056865,0.99617333,-0.989896833,0.002056865,0.99617333,0.09620225,0.008460908,0.04283212,4
011ad6b2-1dfff443.mov,3.487034014,0.12845,20.85,-0.96794,-1.01536,0.04742,9,0.01351343,0.9997,-0.990961694,0.00179585,0.998090092,-0.990961694,0.00179585,0.998090092,-0.001793784,0.001909865,0.009003556,4
011ad6b2-f34fd564.mov,15.35266482,0.064975,41.325,-0.95906,-1.0556,0.09654,8,0.02621924,1.007733333,-0.987652323,0.002802135,1.000007902,-0.987652323,0.002802135,1.000007902,0.015789812,0.010393929,0.054724805,4
017bec14-1c6f8718.mov,2.537513228,0.136825,27.325,1.03054,0.94918,0.08136,5,0.032800984,0.99196,0.999675682,0.000922057,0.995942891,0.999675682,0.000922057,0.995942891,0.018452293,0.000927082,0.004063783,3
